# 日志级别种子训练数据（阶段十五 ADR-019）
# 格式：LEVEL<TAB>单行日志文本；# 开头为注释
# 组织纪律：每个故障族 3 个共享关键短语的改写；跨类碰撞词
# （lock/replication/vacuum/full/timeout/snapshot）在每类均有对应变体，
# 保证留出集样本的判别特征在训练集中出现
ERROR	Connection refused by remote host
ERROR	Connection refused when calling upstream
ERROR	Connection refused: retry exhausted
ERROR	Connection reset by peer
ERROR	Connection reset during tls read
ERROR	Connection reset while streaming response
ERROR	Read timed out waiting for upstream
ERROR	Connection timed out connecting to redis
ERROR	Request timed out waiting for inventory-service
ERROR	No route to host db-02
ERROR	No route to host 172.18.0.5
ERROR	Host unreachable after 3 attempts
ERROR	Disk full on /var/lib/mysql, writes blocked
ERROR	No space left on device writing binlog
ERROR	df reports / at 100% capacity, writes blocked
ERROR	Permission denied opening secret.key
ERROR	Permission denied writing to /var/log/app
ERROR	Access denied for user svc-backup
ERROR	java process killed by OOM killer
ERROR	Out of memory: Kill process 2281 (java)
ERROR	Container killed by OOM killer, exit code 137
ERROR	Upstream returned 502 Bad Gateway
ERROR	Service unavailable: 503 from payment-service
ERROR	Gateway timeout 504 waiting for inventory
ERROR	Deadlock detected between two worker threads
ERROR	Deadlock victim transaction rolled back
ERROR	Deadlock found when trying to get lock
ERROR	Message queue full, producer blocked
ERROR	Queue full: pending messages, producer blocked
ERROR	Producer blocked: queue full on topic orders
ERROR	Broken pipe writing to client socket
ERROR	Broken pipe during response streaming
ERROR	Write failed: broken pipe
ERROR	TLS handshake failure with oss endpoint
ERROR	SSL handshake failure: no common cipher suites
ERROR	Handshake failure negotiating TLS
ERROR	Too many open files, ulimit exceeded
ERROR	Too many open files in nginx worker
ERROR	accept4: too many open files
ERROR	Connection pool exhausted, no idle connections
ERROR	Connection pool exhausted after 30s wait
ERROR	HikariCP pool exhausted: acquisition timeout
ERROR	Segmentation fault, core dumped
ERROR	kernel panic: not syncing, fatal exception
ERROR	panic: runtime error: index out of range
ERROR	Checksum mismatch on block device, possible corruption
ERROR	Data corruption detected in index page
ERROR	Corruption found in page of clustered index
ERROR	fsync failed on audit log: Input/output error
ERROR	Disk I/O error on device sda2
ERROR	I/O error reading sector on nvme0n1
ERROR	Filesystem remounted read-only after journal abort
ERROR	Journal aborted, filesystem now read-only
ERROR	Binlog purge failed: partition read-only
ERROR	Replication split-brain detected between primaries
ERROR	Split-brain: two primaries elected in raft term
ERROR	Raft split-brain: dual leaders detected
ERROR	Replication stopped: duplicate entry for key PRIMARY
ERROR	Replica SQL thread stopped with error 1062
ERROR	Slave IO thread stopped: binlog mismatch
ERROR	Cluster status RED: unassigned primary shards
ERROR	Elasticsearch cluster RED, primary shards unassigned
ERROR	Index blocked: flood-stage watermark exceeded
ERROR	Circuit breaker OPEN for downstream payment-api
ERROR	Circuit breaker open after consecutive failures
ERROR	Bulkhead rejected: circuit breaker open
ERROR	Health check failed 5 consecutive times
ERROR	All health checks failing: 0 healthy targets
ERROR	Readiness check failed, removing from rotation
ERROR	Pod evicted: node had condition DiskPressure
ERROR	Container exited with code 1, backoff exceeded
ERROR	Pod evicted due to memory pressure
ERROR	JVM paused 12.4s in Full GC, application unresponsive
ERROR	Full GC pause 9.8s, stop-the-world exceeded
ERROR	Application unresponsive during Full GC
ERROR	Leader election failed: no quorum in cluster
ERROR	etcd lost quorum: members unreachable
ERROR	Raft election failed: no quorum
ERROR	Authentication backend unreachable, logins rejected
ERROR	LDAP bind failed: connect timed out
ERROR	Kerberos KDC unreachable, authentication halted
ERROR	DNS resolution failed for db-primary
ERROR	DNS lookup timed out resolving api.internal
ERROR	Name resolution failed for redis-master
ERROR	Certificate expired 3 days ago, clients refusing connection
ERROR	Certificate expired: TLS handshake aborting
ERROR	x509: certificate has expired
ERROR	Kafka broker not reachable, partition election stalled
ERROR	Zookeeper session expired, service deregistered
ERROR	RabbitMQ channel closed: PRECONDITION_FAILED
ERROR	Write concern majority not satisfied
ERROR	Majority write concern failed within timeout
ERROR	Mongo write concern w:majority timeout
ERROR	IPMI watchdog triggered hard reset
ERROR	SMART status failing: pending sectors
ERROR	Raid array degraded: drive marked faulty
ERROR	Migration failed: Lock wait timeout exceeded
ERROR	Lock wait timeout exceeded; try restarting transaction
ERROR	DDL migration aborted: metadata lock timeout
ERROR	Duplicate entry for key PRIMARY
ERROR	Integrity constraint violation: foreign key check failed
ERROR	Unique constraint violated on orders
ERROR	Payment reconciliation gap detected: ledger mismatch
ERROR	Reconciliation failed: ledger vs gateway diff
ERROR	Inventory negative stock after concurrent deductions
ERROR	Signature verification failed for webhook
ERROR	JWT signature validation failed: kid mismatch
ERROR	HMAC signature mismatch, dropping message
ERROR	Consumer lag 182000 messages behind, critical
ERROR	Long polling consumer lag critical on topic orders
ERROR	Consumer group lag exceeded critical threshold
ERROR	Flink job failed over 4 times, entering FAILED state
ERROR	Spark executor lost: heartbeat timeout
ERROR	Flink task FAILED after max restarts
ERROR	Audit chain hash mismatch, tampering investigation opened
ERROR	Audit chain verification failed: hash mismatch
ERROR	Audit integrity alert: chain hash mismatch
WARN	Latency p99 exceeds target on endpoint /api/chat
WARN	Latency spike detected on read path
WARN	p99 latency above baseline for 10 minutes
WARN	Retry attempt 3 of 5 for upstream call
WARN	Retry scheduled after transient failure
WARN	Transient error, will retry shortly
WARN	Slow query detected: 2.31s on alert_record
WARN	Slow query: full table scan on audit_event
WARN	Slow query took 3.1s without index
WARN	Heap usage above 80% after traffic spike
WARN	Memory usage climbing steadily over 6 hours
WARN	Heap pressure rising, above 82%
WARN	Disk usage reached 86%, rotation will trigger
WARN	Disk usage above 85% on /var/log
WARN	Disk usage climbing toward 90% watermark
WARN	Certificate expires in 7 days
WARN	Certificate renewal reminder: expires soon
WARN	TLS certificate expires within a week
WARN	Deprecated API called by legacy client
WARN	Deprecated constructor used by legacy plugin
WARN	Deprecated field usage detected in schema
WARN	Connection pool usage approaching maximum
WARN	Connection pool usage at 78% capacity
WARN	Pool utilization above 75%
WARN	GC pause above observation threshold
WARN	GC pause 780ms, monitor for growth
WARN	Young GC pause elevated at 640ms
WARN	Cache hit ratio dropped to 61%
